Decade,Century,Tried,Deaths,City_old,City,Region,Country,Longitude,Latitude,Part of Europe
1500,1500,1,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1500,1500,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1500,1500,2,0,Rottenburg,Mittelfranken,Bayern,Germany,12.0294,48.7012,Western Europe
1510,1500,1,0,Dingolfing,Mittelfranken,Bayern,Germany,12.4852,48.6435,Western Europe
1510,1500,1,0,Markt Schwaben,Mittelfranken,Bayern,Germany,11.863,48.1909,Western Europe
1510,1500,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1510,1500,1,0,Burghausen,Mittelfranken,Bayern,Germany,12.8311,48.1726,Western Europe
1510,1500,1,0,Wolfratshausen,Mittelfranken,Bayern,Germany,11.4274,47.9102,Western Europe
1510,1500,1,0,Memmingen,Mittelfranken,Bayern,Germany,10.1802,47.9838,Western Europe
1520,1500,1,0,Landsberg am Lech,Mittelfranken,Bayern,Germany,10.8704,48.0508,Western Europe
1520,1500,1,0,Burghausen,Mittelfranken,Bayern,Germany,12.8311,48.1726,Western Europe
1520,1500,1,0,Wolfratshausen,Mittelfranken,Bayern,Germany,11.4274,47.9102,Western Europe
1520,1500,1,0,Landsberg am Lech,Mittelfranken,Bayern,Germany,10.8704,48.0508,Western Europe
1520,1500,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1520,1500,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1520,1500,1,0,Rosenheim,Mittelfranken,Bayern,Germany,12.1181,47.8571,Western Europe
1520,1500,1,0,Salzweg,Mittelfranken,Bayern,Germany,13.4851,48.6148,Western Europe
1520,1500,1,0,Burghausen,Mittelfranken,Bayern,Germany,12.8311,48.1726,Western Europe
1520,1500,1,0,Ingolstadt,Mittelfranken,Bayern,Germany,11.4258,48.7665,Western Europe
1520,1500,1,0,Rosenheim,Mittelfranken,Bayern,Germany,12.1181,47.8571,Western Europe
1530,1500,1,0,kotz,Mittelfranken,Bayern,Germany,10.2833,48.4167,Western Europe
1530,1500,1,0,Burghausen,Mittelfranken,Bayern,Germany,12.8311,48.1726,Western Europe
1530,1500,1,0,Regensburg,Mittelfranken,Bayern,Germany,12.1016,49.0134,Western Europe
1530,1500,1,0,Burghausen,Mittelfranken,Bayern,Germany,12.8311,48.1726,Western Europe
1530,1500,2,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1530,1500,1,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1530,1500,1,0,Rettenberg,Mittelfranken,Bayern,Germany,10.2922,47.5743,Western Europe
1530,1500,2,0,Gundelfingen,Mittelfranken,Bayern,Germany,10.3695,48.5489,Western Europe
1530,1500,1,0,Traunstein,Mittelfranken,Bayern,Germany,12.6384,47.8678,Western Europe
1530,1500,1,0,Cham,Mittelfranken,Bayern,Germany,12.6621,49.2239,Western Europe
1530,1500,2,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1540,1500,1,0,Burghausen,Mittelfranken,Bayern,Germany,12.8311,48.1726,Western Europe
1540,1500,1,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1540,1500,1,1,Weissenhorn,Mittelfranken,Bayern,Germany,10.1561,48.3037,Western Europe
1540,1500,1,0,Burghausen,Mittelfranken,Bayern,Germany,12.8311,48.1726,Western Europe
1540,1500,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1540,1500,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1540,1500,1,0,Rottenburg,Mittelfranken,Bayern,Germany,12.0294,48.7012,Western Europe
1540,1500,1,0,Traunstein,Mittelfranken,Bayern,Germany,12.6384,47.8678,Western Europe
1540,1500,1,0,Rottenburg,Mittelfranken,Bayern,Germany,12.0294,48.7012,Western Europe
1540,1500,1,0,Ingolstadt,Mittelfranken,Bayern,Germany,11.4258,48.7665,Western Europe
1540,1500,1,0,Kempten,Mittelfranken,Bayern,Germany,10.3158,47.7286,Western Europe
1540,1500,1,0,Kempten,Mittelfranken,Bayern,Germany,10.3158,47.7286,Western Europe
1550,1500,1,0,Burghausen,Mittelfranken,Bayern,Germany,12.8311,48.1726,Western Europe
1550,1500,1,1,Regensburg,Mittelfranken,Bayern,Germany,12.1016,49.0134,Western Europe
1550,1500,1,0,Donauworth,Mittelfranken,Bayern,Germany,10.7778,48.7186,Western Europe
1550,1500,1,0,Neumarkt in der Oberpfalz,Mittelfranken,Bayern,Germany,11.4672,49.2773,Western Europe
1550,1500,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1560,1500,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1560,1500,4,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1560,1500,1,1,Spalt,Mittelfranken,Bayern,Germany,10.9262,49.1746,Western Europe
1560,1500,10,0,Illereichen,Schwaben,Bayern,Germany,10.1213,48.1645,Western Europe
1560,1500,1,1,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1560,1500,1,0,Kallmunz,Mittelfranken,Bayern,Germany,11.9601,49.1611,Western Europe
1560,1500,2,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1560,1500,1,0,Memmingen,Mittelfranken,Bayern,Germany,10.1802,47.9838,Western Europe
1560,1500,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1560,1500,1,0,Burgau,Mittelfranken,Bayern,Germany,10.4108,48.4302,Western Europe
1560,1500,1,0,Kallmunz,Mittelfranken,Bayern,Germany,11.9601,49.1611,Western Europe
1570,1500,3,0,Memmingen,Mittelfranken,Bayern,Germany,10.1802,47.9838,Western Europe
1570,1500,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1570,1500,2,1,Hochstadt an der Donau,Mittelfranken,Bayern,Germany,10.5672,48.6147,Western Europe
1570,1500,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1570,1500,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1570,1500,1,0,Laufen,Mittelfranken,Bayern,Germany,12.9301,47.9347,Western Europe
1570,1500,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1570,1500,1,0,Oettingen,Mittelfranken,Bayern,Germany,10.6021,48.9518,Western Europe
1570,1500,2,0,Dillingen an der Donau,Mittelfranken,Bayern,Germany,10.494,48.5791,Western Europe
1570,1500,2,1,Dillingen an der Donau,Mittelfranken,Bayern,Germany,10.494,48.5791,Western Europe
1570,1500,1,0,Marktoffingen,Mittelfranken,Bayern,Germany,10.4713,48.9263,Western Europe
1570,1500,10,10,Memmingen,Mittelfranken,Bayern,Germany,10.1802,47.9838,Western Europe
1570,1500,1,0,Schongau,Mittelfranken,Bayern,Germany,10.8943,47.815,Western Europe
1570,1500,1,0,Memmingen,Mittelfranken,Bayern,Germany,10.1802,47.9838,Western Europe
1570,1500,1,0,Marktoberdorf,Mittelfranken,Bayern,Germany,10.6158,47.7785,Western Europe
1570,1500,1,1,Rettenberg,Mittelfranken,Bayern,Germany,10.2922,47.5743,Western Europe
1570,1500,3,0,Wengen,Schwaben,Bayern,Germany,10.1466,47.6764,Western Europe
1570,1500,1,1,Dillingen an der Donau,Mittelfranken,Bayern,Germany,10.494,48.5791,Western Europe
1570,1500,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1570,1500,1,0,Dingolfing,Mittelfranken,Bayern,Germany,12.4852,48.6435,Western Europe
1570,1500,1,0,Landshut,Mittelfranken,Bayern,Germany,12.1469,48.5442,Western Europe
1570,1500,1,0,Weilheim,Mittelfranken,Bayern,Germany,11.1421,47.8407,Western Europe
1570,1500,1,1,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1570,1500,1,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1570,1500,2,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1570,1500,3,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1570,1500,1,0,Schongau,Mittelfranken,Bayern,Germany,10.8943,47.815,Western Europe
1570,1500,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1570,1500,1,1,Dillingen an der Donau,Mittelfranken,Bayern,Germany,10.494,48.5791,Western Europe
1570,1500,1,0,Amberg,Mittelfranken,Bayern,Germany,11.8633,49.4403,Western Europe
1570,1500,1,0,Pfaffenhofen,Mittelfranken,Bayern,Germany,11.4977,48.5325,Western Europe
1580,1500,6,6,Burgau,Mittelfranken,Bayern,Germany,10.4108,48.4302,Western Europe
1580,1500,3,0,Lindau,Mittelfranken,Bayern,Germany,9.67893,47.5798,Western Europe
1580,1500,1,0,Freising,Mittelfranken,Bayern,Germany,11.7412,48.4029,Western Europe
1580,1500,1,0,Lauingen,Mittelfranken,Bayern,Germany,10.43,48.5703,Western Europe
1580,1500,1,0,Amberg,Mittelfranken,Bayern,Germany,11.8633,49.4403,Western Europe
1580,1500,1,0,Rettenberg,Mittelfranken,Bayern,Germany,10.2922,47.5743,Western Europe
1580,1500,1,0,Bad Griesbach,Mittelfranken,Bayern,Germany,13.1966,48.4502,Western Europe
1580,1500,1,0,Bad Reichenhall,Mittelfranken,Bayern,Germany,12.8816,47.7303,Western Europe
1580,1500,1,0,Aichach,Mittelfranken,Bayern,Germany,11.136,48.4577,Western Europe
1580,1500,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1580,1500,3,2,Rettenberg,Mittelfranken,Bayern,Germany,10.2922,47.5743,Western Europe
1580,1500,1,0,Immenstadt,Mittelfranken,Bayern,Germany,10.2207,47.5592,Western Europe
1580,1500,1,0,Schongau,Mittelfranken,Bayern,Germany,10.8943,47.815,Western Europe
1580,1500,2,2,Rain,Mittelfranken,Bayern,Germany,10.9209,48.6902,Western Europe
1580,1500,1,0,Regen,Mittelfranken,Bayern,Germany,13.1284,48.9772,Western Europe
1580,1500,2,0,Oettingen,Mittelfranken,Bayern,Germany,10.6021,48.9518,Western Europe
1580,1500,2,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1580,1500,3,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1580,1500,39,25,Rettenberg,Mittelfranken,Bayern,Germany,10.2922,47.5743,Western Europe
1580,1500,7,7,Dillingen an der Donau,Mittelfranken,Bayern,Germany,10.494,48.5791,Western Europe
1580,1500,1,1,Lauingen,Mittelfranken,Bayern,Germany,10.43,48.5703,Western Europe
1580,1500,1,0,Hochstadt an der Donau,Mittelfranken,Bayern,Germany,10.5672,48.6147,Western Europe
1580,1500,2,0,Marktoberdorf,Mittelfranken,Bayern,Germany,10.6158,47.7785,Western Europe
1580,1500,3,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1580,1500,1,0,Rettenberg,Mittelfranken,Bayern,Germany,10.2922,47.5743,Western Europe
1580,1500,1,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1580,1500,1,0,Dillingen an der Donau,Mittelfranken,Bayern,Germany,10.494,48.5791,Western Europe
1580,1500,1,0,Lauingen,Mittelfranken,Bayern,Germany,10.43,48.5703,Western Europe
1580,1500,5,5,Hochstadt an der Donau,Mittelfranken,Bayern,Germany,10.5672,48.6147,Western Europe
1580,1500,1,0,Lauingen,Mittelfranken,Bayern,Germany,10.43,48.5703,Western Europe
1580,1500,13,13,Wallerstein,Mittelfranken,Bayern,Germany,10.4738,48.8887,Western Europe
1580,1500,1,0,Hochstadt an der Donau,Mittelfranken,Bayern,Germany,10.5672,48.6147,Western Europe
1580,1500,3,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1580,1500,45,27,Schwabmunchen,Mittelfranken,Bayern,Germany,10.7557,48.18,Western Europe
1580,1500,1,0,Kallmunz,Mittelfranken,Bayern,Germany,11.9601,49.1611,Western Europe
1580,1500,1,0,Neumarkt in der Oberpfalz,Mittelfranken,Bayern,Germany,11.4672,49.2773,Western Europe
1580,1500,1,0,Dillingen an der Donau,Mittelfranken,Bayern,Germany,10.494,48.5791,Western Europe
1580,1500,1,0,Gremheim,Schwaben,Bayern,Germany,10.6477,48.6361,Western Europe
1580,1500,2,2,Tapfheim,Mittelfranken,Bayern,Germany,10.6854,48.6737,Western Europe
1580,1500,4,0,Tapfheim,Mittelfranken,Bayern,Germany,10.6854,48.6737,Western Europe
1580,1500,2,0,Bad Griesbach,Mittelfranken,Bayern,Germany,13.1966,48.4502,Western Europe
1580,1500,7,7,Schongau,Mittelfranken,Bayern,Germany,10.8943,47.815,Western Europe
1580,1500,1,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
